Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Social_Media_T1P1,US East (N. Virginia),Web Server and Application Servers,Amazon EC2,0,2697.409774,32368.92,USD,"Operating system (Linux), Storage amount (1 GB), DT Inbound: Internet (3 TB per month), DT Outbound: US East (Ohio) (6 TB per month), DT Intra-Region: (2 TB per month), Workload (Daily, (Workload days: Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Baseline: 10, Peak: 100, Duration of peak: 8 Hr 00 Min)), Snapshot Frequency (2x Daily), Amount changed per snapshot (10 GB), Advance EC2 instance (t3a.large), Pricing strategy (EC2 Instance Savings Plans 1yr No Upfront)"
Social_Media_T1P1,US East (N. Virginia),VPC configuration,Amazon Virtual Private Cloud (VPC),0,987.3,11847.60,USD,Number of NAT Gateways (2)
Social_Media_T1P1,US East (N. Virginia),S3 for static ,S3 Standard,0,1473.9,17686.80,USD,S3 Standard storage (50 TB per month)
Social_Media_T1P1,US East (N. Virginia),S3 for static ,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (10 TB per month), DT Outbound: Amazon CloudFront (20 TB per month)"
Social_Media_T1P1,US East (N. Virginia),Cloud Front for Content,Amazon CloudFront,0,642,7704.00,USD,"Data transfer out to internet (5 TB per month), Data transfer out to origin (10 TB per month), Number of requests (HTTPS) (2000000 per month)"
Social_Media_T1P1,US East (N. Virginia),RDS Configuration,Amazon RDS for MySQL,0,2756.3999999999996,33076.80,USD,"Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (1 TB), Provisioning IOPS (1500), Quantity (2), Instance type (db.m1.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (10 TB)"
Social_Media_T1P1,US East (N. Virginia),ALB Configuration,Application Load Balancer,0,1200.85,14410.20,USD,Number of Application Load Balancers (2)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
